n,algorithm,time 
1,0,36835.7
1,1,37181.7
1,2,37190.6
3,0,37999.1
3,1,37991.7
3,2,38635.2
5,0,38960.1
5,1,38841.1
5,2,38732.9
7,0,39414
7,1,39110.1
7,2,39079.2
9,0,40405.7
9,1,40145.6
9,2,40170
11,0,40686.2
11,1,40237.4
11,2,40344.2
13,0,40639.3
13,1,40754.4
13,2,40465.7
15,0,40873.2
15,1,40510.8
15,2,40429.2
17,0,41510.9
17,1,40843.2
17,2,41144.5
19,0,41676.3
19,1,41184.5
19,2,40918.4
21,0,41917
21,1,41581.5
21,2,41727.3
23,0,42006.8
23,1,41719.2
23,2,41958.9
25,0,42057
25,1,41911.8
25,2,42373.4
27,0,42619.4
27,1,42093.3
27,2,42056.3
29,0,42426
29,1,42370.5
29,2,42019
31,0,42574.6
31,1,41969.7
31,2,42327.4
33,0,42926.4
33,1,42671.4
33,2,42512.5
35,0,43037.1
35,1,43141.7
35,2,43024.7
37,0,43495.3
37,1,43079.1
37,2,43144.5
39,0,43322.3
39,1,43164.9
39,2,43194.6
41,0,43751.3
41,1,43310.9
41,2,43355.9
43,0,44000.3
43,1,43261.8
43,2,43706.7
45,0,44015.4
45,1,43683.5
45,2,43700.4
47,0,44037.4
47,1,44065.8
47,2,43786.7
